ICL Prompt,ZSL Prompt,Answer
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Nokia to offer Secure Digital card capability in its devices LONDON, September 14 (New Ratings) - Nokia (NOA3.ETR) has decided to enable the use of SD (Secure Digital) memory cards in its mobile devices.
Category: Technology
News: Eight US Marines Killed, Nine Wounded in Iraq Eight US marines were killed and nine wounded in action west of Baghdad Saturday, the US military said. It gave no details on the circumstances of the deaths, which it said occurred in 
Category: World
News: Israeli Troops Kill 5 in West Bank Clashes-Witnesses Israeli troops killed at least five Palestinian militants in the West Bank city of Nablus on Wednesday, witnesses said. A military spokeswoman confirmed operations were under way but declined to comment on casualties.
Category: World
News: Photos: iPod lands in London Apple's new London store on Regent Street puts the iPod music player front and center.
Category: Technology
News: End to N. Korean crisis sought  BEIJING -- China renewed a diplomatic push to try to solve the North Korean nuclear crisis with top-level visits yesterday Pyongyang and Seoul.
Category: World
News: HD-DVD Standard Earns Approval Rewriteable version of the next-gen DVD format moves closer to mass production.
Category: Technology
News: Wireless Sales Drive Up RadioShack Profit  NEW YORK (Reuters) - RadioShack Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RSH.N target=/stocks/quickinfo/fullquote""&gt;RSH.N&lt;/A&gt;, the No. 3  U.S. electronics retailer, on Tuesday posted a 22 percent rise  in third-quarter profit due to strong wireless sales and cost  controls, but its shares slipped as it kept its 2004 earnings  outlook unchanged.
Category: Business
News: Hewlett-Packard goes Blu for DVDs PC buyers can look forward to DVDs with up to 10 times the storage they now have when Hewlett-Packard rolls out machines supporting next-generation DVD technologies next year.
Category: Technology
News: Rumor site pictures Photo iPod for holidays A Mac news site says iPods with digital cameras built in may be under Christmas trees this year.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Rumor site pictures Photo iPod for holidays A Mac news site says iPods with digital cameras built in may be under Christmas trees this year.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: German food retailer Spar sells 50-pct stake in Netto discount to ITM (AFP) AFP - Spar, Germany's eighth-biggest food supermarket chain, plans to sell a 50-percent stake in its discount arm Netto to its French parent company ITM Entreprises, Spar's new chairman Stephan Schelo said in a newspaper interview.
Category: Business
News: 2 shooters said to be untrained By Donovan Slack and Shelley Murphy, Globe Staff  October 27, 2004. Two officers who fired pepper-pellet guns near where a 21-year-old college student was fatally shot last week were not trained to use the 
Category: Sports
News: Stocks Are Set to Open Slightly Higher NEW YORK - U.S. stocks are seen slightly higher at the open but a swathe of economic data is likely to influence overall sentiment and direction...
Category: World
News: Potential Sprint, Nextel merger suggests consolidating wireless industry (AFP) AFP - Sprint and Nextel were reported to be in merger discussions for a blockbuster deal that would reduce the number of major players in the US wireless industry to four.
Category: Technology
News: S.Korea #39;s Ruling Party Head Resigns on Father #39;s Past SEOUL (Reuters) - The chairman of South Korea #39;s ruling Uri Party resigned on Thursday after saying his father had served as a military police officer during Japan #39;s 1910-1945 colonial rule on the peninsula. 
Category: World
News: Mortgage Applications Fell Last Week (Reuters) Reuters - New applications for U.S. home loans\fell last week as 30-year mortgage rates declined to their\lowest level since late March, an industry group said on\Wednesday.
Category: Business
News: BAR #39;s Button regrets bid to join Williams British Formula One driver Jenson Button has admitted he was  quot;misguided quot; in seeking to move from BAR to Williams. The 24-year-old announced his intention in August to drive for Williams 
Category: Sports
News: Pitcairn Sex Abuse Trial Judge  #39;Biased #39; Defence lawyers for seven descendants of the 18th-century Bounty mutineers accused of sexual assault on remote Pitcairn Island moved to halt the trials of the men today, claiming judicial bias.
Category: World
News: Google buys digital mapping company Google Inc. has bought digital map maker Keyhole, extending the search engine with a toolbox that can catalog almost anything in the world.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Google buys digital mapping company Google Inc. has bought digital map maker Keyhole, extending the search engine with a toolbox that can catalog almost anything in the world.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Britain Agrees to U.S. Troops Request (AP) AP - Britain agreed Thursday to meet a U.S. request for British troops to be moved into volatile central Iraq, a proposal that has met strong opposition within the governing Labour Party.
Category: World
News: Software exports from India's technology hub soar 34 percent (AFP) AFP - Software exports from India's technology hub of Bangalore shot up 34 percent in the first five months of the current fiscal year compared to the same period the previous year, an official said.
Category: Technology
News: Astros down Rockies to stay even with Giants in NL wild-card race The streaking Houston Astros used seven pitchers and a Jeff Bagwell home run to beat the Colorado Rockies 4-2 on Friday to hold on to their share of the lead in the National League wild card race.
Category: Sports
News: Studios Support Toshiba #39;s DVD Format Four major motion picture studios will support the HD DVD videodisk format. New Line Cinema, Paramount, Universal and Warner Bros.
Category: Technology
News: Rapids 3, Wizards 1 Joe Cannon stopped a shot from close range in the 76th minute and a penalty kick five minutes later, helping the Colorado Rapids to a 3-1 victory over the Kansas City Wizards on Friday night.
Category: Sports
News: Teixeira cycles his way to history ARLINGTON -- Rangers first baseman Mark Teixeira made history Tuesday at Ameriquest Field in Arlington against Cleveland when he became the second player in franchise history to hit for the cycle. 
Category: Sports
News: Eidos Announces Hitman: Blood Money Eidos has announced the next installment in the Hitman fanchise titled Hitman: Blood Money, it #39;ll be released in spring 2005 for Playstation 2, Xbox, and PC.
Category: Technology
News: 'Shark Tale' Hooks Movie-Goers With \$49.1M LOS ANGELES - The animated fish story ""Shark Tale"" swamped the competition, opening as the top weekend movie with \$49.1 million and potentially breaking the record for best October debut. John Travolta and Joaquin Phoenix's firefighting adventure ""Ladder 49"" premiered in second place with \$22.8 million, according to studio estimates Sunday...
Category: World
News: Port Adelaide Beats Brisbane for 1st Australian Football Title Port Adelaide Power beat the Brisbane Lions by 40 points in the Australian Football League grand final to win its first premiership, ending the Lions #39; run of three titles.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Port Adelaide Beats Brisbane for 1st Australian Football Title Port Adelaide Power beat the Brisbane Lions by 40 points in the Australian Football League grand final to win its first premiership, ending the Lions #39; run of three titles.
Category:",Sports
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Moore And List Advance To US Amateur Final Mamaroneck, NY - Ryan Moore, 21, of Puyallup, Wash., the NCAA Division I champion who has won all four golf events he has entered since late May, and Luke List, 19, of Ringgold, Ga.
Category: Sports
News: Colgate Profit Falls on Higher Costs  NEW YORK (Reuters) - Colgate-Palmolive Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CL.N target=/stocks/quickinfo/fullquote""&gt;CL.N&lt;/A&gt; on  Wednesday said profit fell in the third quarter because of  increased marketing spending and higher costs for raw  materials.
Category: Business
News: Dolphins arrive for final game short-handed With Hurricane Frances approaching the eastern coast of Florida, Miami players requested that their preseason game in New Orleans be canceled.
Category: Sports
News: Kevin Costner Weds at His Aspen Ranch ASPEN, Colo. - ""Dances with Wolves"" star Kevin Costner has wed his girlfriend of five years, Christine Baumgartner, at his Colorado mountain ranch...
Category: World
News: Ex-Polaroid exec takes top finance job at 3Com Donald Halsted, one target of a class-action suit alleging financial improprieties at bankrupt Polaroid, officially becomes CFO.
Category: Technology
News: Britain #39;s unluckiest punter dies A pensioner who lost out on a near 1m betting jackpot has died hours before he was to be given a share of another winner #39;s windfall.
Category: Sports
News: Judge to Rule on Georgia Evolution Disclaimers A public school board in Georgia violated the US Constitution when it placed stickers that challenge the theory of evolution on biology textbooks two years ago, a lawyer for a group of parents said on Friday.
Category: Technology
News: Adobe Repairs Reader, Acrobat Flaws Adobe this week updated its Acrobat and Reader software to fix vulnerabilities spotted by Reston, Vir.-based security intelligence firm iDefense.
Category: Technology
News: Northrop Tapped to Design Jupiter Icy Moons Orbiter with JPL WASHINGTON -- Northrop Grumman beat out Boeing and Lockheed Martin to win a \$400 million contract to help NASA design the proposed multibillion dollar Jupiter Icy Moons Orbiter (JIMO) mission.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Northrop Tapped to Design Jupiter Icy Moons Orbiter with JPL WASHINGTON -- Northrop Grumman beat out Boeing and Lockheed Martin to win a \$400 million contract to help NASA design the proposed multibillion dollar Jupiter Icy Moons Orbiter (JIMO) mission.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: US Airways to Cut Hundreds of Jobs US Airways Group Inc. plans to eliminate  quot;hundreds quot; of management and nonunion jobs and cut top executives #39; pay by between 5 and 10 percent, the airline told its employees yesterday.
Category: Business
News: Researchers Release Tree Genome Database (AP) AP - A new database of tree genes has been released by Oregon and Swedish researchers in an effort to speed up basic and commercial research.
Category: Technology
News: Gov #39;s plan to add 18 inspectors greatly inadequate The Romney administration is planning a \$1.7 million, 18-job boost for the beleaguered agency that inspects amusement park rides, boilers and elevators, but a union official says at least 
Category: Business
News: Sex charges haunt UN forces In places like Congo and Kosovo, peacekeepers have been accused of abusing the people they're protecting.
Category: World
News: Stocks Slightly Ahead, Lower Oil Helps  NEW YORK (Reuters) - U.S. stocks were slightly higher on  Tuesday, with lower oil prices helping support markets, but  Johnson   Johnson &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JNJ.N target=/stocks/quickinfo/fullquote""&gt;JNJ.N&lt;/A&gt; dragged on the Dow following a report  of a possible \$24 billion takeover of cardiovascular device  maker Guidant Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GDT.N target=/stocks/quickinfo/fullquote""&gt;GDT.N&lt;/A&gt;.
Category: Business
News: Taiwan court upholds Chen #39;s election victory TAIPEI - Taiwan #39;s High Court on Thursday dismissed a lawsuit filed by opposition parties seeking to nullify the March presidential election and upheld President Chen Shui-bian #39;s victory.
Category: World
News: Former soldiers occupuing ex-president #39;s home evicted PORT-AU-PRINCE, (AFP) - Armed UN peacekeepers and Haitian police evicted former soldiers who were occupying ousted president Jean Bertrand Aristide #39;s luxurious mansion here.
Category: World
News: Top al-Qaeda Operative Killed in Pakistan Pakistan Times Staff Reporter / PT Monitoring Desk. NAWABSHAH: A suspected top al-Qaeda oper ative, Amjad Hussain Farooqi has been killed in a raid in southern Pakistan.
Category: World
News: Nortel Networks to cut 3,500 TORONTO -- Nortel Networks said yesterday it will slash its workforce by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Nortel Networks to cut 3,500 TORONTO -- Nortel Networks said yesterday it will slash its workforce by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.
Category:",Business
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: LookSmart and UpSNAP Partner for Cell Phone Directory LookSmart and UpSNAP Partner for Cell Phone Directory\\Looksmart has partnered with UpSNAP! to offer its customers a new way to extend their reach off-line and directly to consumers via text-enabled cell phones under a pay-per-click/call model. UpSNAP! recently launched its free 411 service allowing mobile users to access White Pages ...
Category: Technology
News: Utah hires Whittingham to replace Meyer Utah defensive coordinator Kyle Whittingham was hired as the school #39;s football coach to replace Urban Meyer. Whittingham rejected an offer from rival BYU to take the Utes #39; job.
Category: Sports
News: Notes: Ichiro CAT scan proves OK KANSAS CITY -- A precautionary CAT scan taken on Ichiro Suzuki on Thursday afternoon was  quot;completely normal quot; and the right fielder could continue his pursuit of another 50-hit month Friday night in Detroit. 
Category: Sports
News: Davis takes six-shot lead at PGA Tour qualifying tournament England #39;s Brian Davis shot a 4-under 68 Sunday and moved out to a six-shot lead after the fifth round of the PGA Tour #39;s 90-hole qualifying tournament.
Category: Sports
News: India denies pullback plan NEW DELHI, Oct 1: India does not plan to withdraw troops from the Siachen Glacier and recent news reports claiming otherwise are  quot;pure speculation and a lie, quot; Indian Foreign Minister Kunwar Natwar Singh said on Friday.
Category: World
News: Ranieri salutes  #39;incredible #39; Inter Valencia coach Claudio Ranieri said he could do little more than salute opponents Inter Milan after their crushing 5-1 victory over his side at the Mestalla on Wednesday.
Category: Sports
News: Outlook bleak on both sides Bobby Holik was among the 74 NHL players who met with players association executive director Bob Goodenow yesterday in Toronto, and the Rangers #39; veteran left what he termed an  quot;informative 
Category: Sports
News: Not at His Best, Clemens Wins a Game 1 The Houston Astros battered the Atlanta Braves, 9-3, in Game 1 of their N.L. division series even without the best from their starting pitcher, Roger Clemens.
Category: World
News: U.N. Says Bugging Device Found at Its Geneva HQ (Reuters) Reuters - The United Nations said on Thursday a\secret listening device had been found in a posh meeting room\of its European headquarters in Geneva.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: U.N. Says Bugging Device Found at Its Geneva HQ (Reuters) Reuters - The United Nations said on Thursday a\secret listening device had been found in a posh meeting room\of its European headquarters in Geneva.
Category:",World
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Immune find may help transplants Immune systems can perhaps accept tissues from people with other blood types, Canadian researchers find.
Category: World
News: UPDATE 1-Harmison hat-trick helps England to easy win England fast bowler Steve Harmison grabbed a hat-trick to set up an easy seven-wicket win over India in the first one-day international at Trent Bridge, Nottingham on Wednesday.
Category: Sports
News: Chechen capital empties ahead of election to replace slain leader (AFP) AFP - Chechnya's capital Grozny emptied as residents fearing rebel raids fled a day before an election to replace their slain pro-Moscow leader.
Category: World
News: Eyeing Downturn, Chip Makers Trim Equipment Buying (Reuters) Reuters - The semiconductor industry is showing\the first signs of slowing growth, trimming purchases of raw\materials and production equipment as demand slows, industry\executives and analysts said on Tuesday.
Category: Technology
News: Senior Manila police officer slain in Philippines ambush MANILA: One of Manila #39;s most senior police officers has been killed in an ambush outside his office, his commander said. Unknown gunmen armed with assault rifles attacked Senior Superintendent Manolo Martinez 
Category: World
News: Northwestern 13 (17) Purdue 10 EVANSTON, Ill. Noah Herron #39;s three-yard touchdown run with 38 seconds left pushed Northwestern past 17th-ranked Purdue 13-to-10.
Category: Sports
News: Israel to Leave Palestinian Cities During Election (Reuters) Reuters - Israel plans to pull troops out of\Palestinian cities for a Jan. 9 presidential election to pick a\successor to Yasser Arafat, Defense Minister Shaul Mofaz said\on Monday.
Category: World
News: Lava Gives Mount St. Helens Eerie Glow (AP) AP - The molten rock rising inside Mount St. Helens is giving the peak an eerie red glow at night.
Category: Technology
News: Spanish police arrest 17 suspected ETA members Police arrested 17 suspected members of Basque separatist guerrilla group ETA in northern Spain on Tuesday, the Interior Ministry says.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Spanish police arrest 17 suspected ETA members Police arrested 17 suspected members of Basque separatist guerrilla group ETA in northern Spain on Tuesday, the Interior Ministry says.
Category:",World
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Iran rejects EU nuke proposals, wants talks TEHRAN, OCTOBER 24 : Iran on Sunday rejected a European Union proposal that it scrap uranium enrichment in return for nuclear technology, increasing the likelihood it will be reported to the UN Security Council for possible sanctions.
Category: World
News: Children slaughtered Bombs killed 35 children and wounded scores of others as US troops handed out candy Thursday. It was the largest death toll of children in any insurgent attack since the start of the war.
Category: World
News: Dollar Off, But Climbs vs Canadian Dollar  NEW YORK (Reuters) - The dollar edged lower on Tuesday,  although it rose against the Canadian dollar after Canada's  central bank signaled its strong currency would eventually  affect domestic demand and prevent rate hikes.
Category: Business
News: McNealy: Sun still shines for Oracle Despite Oracles strategic push for Linux- and Intel-based deployments, Sun is still the company #39;s leading platform, according to Sun chairman and chief executive Scott McNealy.
Category: Technology
News: Spitzer Telescope Finds Planet Forming Messy The business of building planets is messier and more chaotic than scientists realized, according to new observations from NASA #39;s Spitzer Space Telescope.
Category: Technology
News: \$1 million bail for spammer LEESBURG, VA. -- Bail was set at \$1 million for a Raleigh man awaiting sentencing in the nation #39;s first felony prosecution of illegal distribution of spam.
Category: Technology
News: Sussex hand title to Warwickshire Warwickshire were crowned as cricket #39;s new county champions at 5.06pm yesterday, even though their players were stuck indoors in front of their TVs and computers at the time.
Category: Sports
News: New RFID Services Based On IBM #39;s Own Tagging Projects RFID work done at an IBM chip factory becomes the basis for a new line of consulting services. By Laurie Sullivan. IBM is introducing a line of radio-frequency identification services for midmarket companies 
Category: Technology
News: Siemens Says Cellphone Flaw May Hurt Users and Its Profit Siemens, the world's fourth-largest maker of mobile phones, said that a flaw that can create a piercing ring in its newest phone models might hurt earnings.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Siemens Says Cellphone Flaw May Hurt Users and Its Profit Siemens, the world's fourth-largest maker of mobile phones, said that a flaw that can create a piercing ring in its newest phone models might hurt earnings.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Climate change 'ruining' Everest The world's highest peak should put on a UN danger list to force action on global warming, campaigners say.
Category: Technology
News: Vonage in Deal with Cisco in Subscriber Push (Reuters) Reuters - Internet phone service Vonage on\Tuesday said it has struck a deal with Cisco Systems Inc.\(CSCO.O) to sell Vonage-ready equipment at hundreds of retail\stores in a bid to boost new subscriptions.
Category: Technology
News: Malaysia's Sea Turtles Are in Trouble (AP) AP - Several species of sea turtles in Malaysia could vanish in a few years, largely due to illegal poaching of the creatures and their eggs, scientists warned on Wednesday.
Category: Technology
News: U.N. Panel Steps Up Anti-Terror Campaign (AP) AP - Facing a surge of attacks around the globe, the U.N. Security Council voted unanimously Friday to step up its campaign against terrorism but backed away from authorizing a new list of terrorists that could be subject to sanctions and punishment.
Category: World
News: Water of Life and Other Scientific Highlights of 2004 Science judged that the runner-up to the discovery of water on Mars was the finding of another species of dwarf human which lived on the remote Indonesian island of Flores as little as 13,000 years ago.
Category: Technology
News: Toymakers Disappoint, Warn on Holidays (Reuters) Reuters - The two top U.S. toymakers posted\disappointing third-quarter results on Monday, citing\uncertainty in the economy and cautious retailers, and tempered\expectations for the crucial holiday season.
Category: Business
News: Parmalat judge to open hearings A Milan judge on Tuesday opens hearings into whether to put on trial 32 executives and financial institutions over the collapse of international food group Parmalat in one of Europe #39;s biggest fraud cases.
Category: Business
News: Markets extend rally as oil falls from high Wall Street extended its fourth- quarter rally yesterday, supported by falling oil prices and a bullish assessment of the economy from a Federal Reserve official.
Category: Business
News: Dell gets down to CE business ZDNet #39;s survey of IT professionals in October kept upgrading hardware at number two on the businesses radar throughout the year.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Dell gets down to CE business ZDNet #39;s survey of IT professionals in October kept upgrading hardware at number two on the businesses radar throughout the year.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Henin calls a halt to exhausting year Belgium #39;s Justine Henin-Hardenne will not play for the rest of the year in an attempt to recover from exhaustion. The former world No1 has not competed since losing in the fourth round of the US Open to Nadia 
Category: Sports
News: Glaus Agrees to 4-Year Deal With Arizona (AP) AP - All-Star third baseman Troy Glaus agreed Thursday to a four-year contract with the Arizona Diamondbacks, who hope the 2002 World Series MVP will rebound from a season cut short by an injured shoulder.
Category: Sports
News: UK urged to prepare for Olympics The UK needs to plan well ahead for the 2012 Olympics to ensure a lasting legacy, two leading think-tanks warn.
Category: World
News: Microsoft 1st-Qtr Net Rises as Server Sales Advance (Update4) Microsoft Corp., the world #39;s largest software maker, said first-quarter profit rose 11 percent as sales of Windows corporate network software increased.
Category: Business
News: JUVE OFF TO A FLYER Fabio Capello #39;s reign as Juventus coach began in ominous fashion for the rest of Italy as the Turin giants claimed a convincing triumph at Brescia.
Category: Sports
News: Bomb Explodes Outside Saudi Bank A bomb exploded outside a bank in Saudi Arabia early Saturday, but appears to have caused no casualties. One of the bombers was reportedly shot and taken into custody, and Saudi police have launched a search for other militants that fled the scene.
Category: World
News: UPS to Hire 70,000 Workers for Holidays (Reuters) Reuters - United Parcel Service Inc. ,\the world's largest package delivery company, said on Tuesday\it plans to hire nearly 70,000 temporary workers to help handle\an estimated 340 million packages from Thanksgiving to\Christmas, exceeding year-ago forecasts.
Category: Business
News: Gaza plan wins party vote Israel #39;s plan to pull out of Gaza next year passed a crucial test on Thursday when Prime Minister Ariel Sharon easily won party approval to ask the more moderate Labor party to join his coalition.
Category: World
News: Brazil Garbage Dump Could Be Climate Trailblazer (Reuters) Reuters - A Brazilian garbage dump could be a\trailblazer for thousands of projects in developing nations\under a U.N. plan to battle global warming, a Norwegian company\said Wednesday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Brazil Garbage Dump Could Be Climate Trailblazer (Reuters) Reuters - A Brazilian garbage dump could be a\trailblazer for thousands of projects in developing nations\under a U.N. plan to battle global warming, a Norwegian company\said Wednesday.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hong Kong #39;s De Facto Bank Matches Hike Hong Kong #39;s de facto central bank on Thursday raised its key rate by a quarter of a percentage point to 3.50 percent, matching the latest rate hike by the US Federal Reserve.
Category: Business
News: AOL 9.0 Packs Antivirus Protection Citing the urgent need to protect its users from online threats, America Online will begin bundling antivirus software from McAfee with the latest version of its software, AOL 9.0, according to a statement from the company.
Category: Business
News: Clijsters and Hewitt call off engagement The 21-year-old Belgian former world No 1 announced the split on her website but did not divulge any further details about the break-up of her long-term relationship with the 23 
Category: Sports
News: Lockheed and the Future of Warfare In the post-9/11 world, Lockheed Martin has become more than just the nation's biggest military contractor. It is putting its stamp on military policies as well.
Category: World
News: NCAA Game Summary - Arkansas-Little Rock at Georgia Tech Georgia Tech freshman Jeremis Smith left the game with a right knee injury near the end of the game...UALR #39;s Richard Hardman led all players with 13 rebounds...Freeman was just 1-of-9 from three-point territory...Georgia Tech improved to 4-0 all-time 
Category: Sports
News: Web board craigslist makes a name for itself (USATODAY.com) USATODAY.com - Craigslist is a giant Internet bulletin board where people buy and sell their stuff, trade humor and political wisdom, look for dates, seek home repair advice, share their poetry and often just rant. Some call the site a public forum. Others call it a classified market. Many call it an obsession.
Category: Technology
News: UPDATE 2-Real slump to another defeat at classy Bilbao Trouble-torn Real Madrid slumped to their second defeat in three Primera Liga games when they lost 2-1 to a classy Athletic Bilbao side on Saturday.
Category: Sports
News: IBM Data Reveals Rising Warranty Costs (PC World) PC World - Costs have increased steadily in recent years, causing some to wonder about quality.
Category: Technology
News: Wi-Fi products get security certificate The Wi-Fi Alliance got its next certification program off to a flying start, issuing WPA2 badges to a bunch of products that comply with the 802.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Wi-Fi products get security certificate The Wi-Fi Alliance got its next certification program off to a flying start, issuing WPA2 badges to a bunch of products that comply with the 802.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Tigers 6, White Sox 4 Eric Munson hit a go-ahead, three-run homer in the seventh inning to lead the Detroit Tigers to a 6-4 victory over the Chicago White Sox on Tuesday night.
Category: Sports
News: GTECH Thrives, but With a Wild Card The company's Q2 earnings beat estimates, but Brazilian legal problems continue.
Category: Business
News: PLAY IT AGAIN Legendary toy retailer FAO Schwarz will reopen its landmark Manhattan store on Thanksgiving Day, just in time for the holidays. The 65,000-square-foot store at Fifth 
Category: Business
News: Freddie Mac May Face SEC Action WASHINGTON (Reuters) - Freddie Mac (FRE.N: Quote, Profile, Research) , the No. 2 US mortgage finance company, on Wednesday said it may face civil action from the US Securities and Exchange Commission for possible violations of securities laws. 
Category: Business
News: Ukraine Protesters Rush to Parliament  KIEV, Ukraine (Reuters) - Ukrainian opposition protesters  rushed to parliament and massed at its main door Tuesday after  the assembly failed to take any decision over a disputed  presidential election the opposition says was rigged.
Category: World
News: Straw shook hand of Zimbabwe's Mugabe 'by mistake' (AFP) AFP - Foreign Secretary Jack Straw has said he shook hands with Zimbabwean President Robert Mugabe in New York last week  quot;by mistake quot; and because it was  quot;dark quot;.
Category: World
News: Oracle readies major app server upgrade Oracle on Wednesday will introduce Oracle Application Server 10g Release 2, which is being characterized as a significant upgrade to the product with improvements in Java, Web services, and identity management and the addition of RFID backing.
Category: Technology
News: The View From 217 - Virginia Tech Edition Riding a ten-game regular season winning streak, ranked 6th nationally by the Associated Press, and coming off a lackluster performance against 1-AA James Madison, the Mountaineers showed they have a long way to go to even be a decent football team, much 
Category: Sports
News: Amazon Web Services Adds Alexa Data Online superstore Amazon.com (Quote, Chart) has expanded its Web Services platform for developers, adding a new service for access to the Alexa database and increased access to the Amazon E-Commerce Service 4.0.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Amazon Web Services Adds Alexa Data Online superstore Amazon.com (Quote, Chart) has expanded its Web Services platform for developers, adding a new service for access to the Alexa database and increased access to the Amazon E-Commerce Service 4.0.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Nigerian Strike Over Fuel Rates to Go On (AP) AP - The chief of Nigeria's main labor organization vowed that a four-day nationwide strike to protest fuel price hikes will go ahead Monday as planned, and accused President Olusegun Obasanjo of shunning dialogue to resolve union grievances.
Category: World
News: SPORTS ON TV National League Division Series Game 4 - Atlanta Braves at Houston Astros. From Minute Maid Park in Houston. 1 pm ESPN. American League Division Series Game 5 - Boston Red Sox at Anaheim Angels.
Category: Sports
News: Senate Wants Database Dragnet Lawmakers may soon pass a bill that would set up a huge network of databases that law enforcement officials could tap to find terrorists. But that kind of unfettered access to data about Americans raises eyebrows. By Ryan Singel.
Category: Technology
News: Sun to buy remote-management firm Sun Microsystems has signed a deal to acquire SevenSpace, a company whose technology is expected to expand Sun #39;s remote-management services beyond what #39;s possible with the computing giant #39;s own equipment.
Category: Technology
News: China's central bank tells US not to blame others for economic woes (AFP) AFP - A senior Chinese central bank official has warned the United States not to blame other countries for its own economic difficulties, a report said.
Category: World
News: TiVo Pop-Up Ads Raise Consumer Concerns (AP) AP - Digital video recording pioneer TiVo Inc. has long promised ""TV Your Way."" But the company's plans for pop-up ads and restrictions on copying have sparked worries that the service may be eroding consumer control in favor of Hollywood and advertiser interests.
Category: Technology
News: Jordan Says Wizards Won't Tolerate Guff (AP) AP - Kwame Brown's boycott of a team huddle during a game was an example of immaturity that will not be tolerated, according to Washington Wizards coach Eddie Jordan.
Category: Sports
News: Standards battle could shoot both sides in foot Tussle over next-generation DVD format could alienate consumers.\
Category: Technology
News: Barca Eto #39;o encounters racism at Getafe Barcelona striker Samuel Eto #39;o encountered apparent racial abuse from opposition fans during his side #39;s 2-1 victory over Getafe in Madrid on Saturday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Barca Eto #39;o encounters racism at Getafe Barcelona striker Samuel Eto #39;o encountered apparent racial abuse from opposition fans during his side #39;s 2-1 victory over Getafe in Madrid on Saturday.
Category:",Sports
